alumni_career_titles,alumni_info,awards,contact_email,department,dept_news_links,lab_culture,lab_website,last_updated,linkedin_profiles,mentorship_info,num_alumni,num_students,pi_name,publication_abstracts,publication_dates,publication_links,publications,research_summary,scraped_excerpts,social_media_posts,source_url,title_position
Biomedical Engineer; PhD Student,"J. Patel (MS 2024, Medtronic); C. Flores (BS 2023, Duke BME PhD)",NIBIB Trailblazer Award (2023); NSF CAREER (2025),akarim@ncsu.edu,BME,https://bme.ncsu.edu/news/karim-trailblazer-award,collaborative; hands-on; open data,http://karimlab.ncsu.edu,2025-09-05,https://linkedin.com/in/akarim-bme; https://linkedin.com/in/karimlab,Weekly one-on-one meetings; encourages paper-first project framing; open lab notebooks.,5,8,Dr. Aisha Karim,"Cuff electrodes with integrated sensing/stimulation restored motor function in a rat sciatic injury model.; A silicon–elastomer platform retained conductivity at 100% strain for 10,000 cycles.; Garment-mounted EMG arrays provided robust signals during daily activities.",2025; 2024; 2023,https://doi.org/10.1234/bme.karim.1; https://doi.org/10.1234/bme.karim.2; https://doi.org/10.1234/bme.karim.3,Soft cuff electrodes enable closed-loop nerve modulation; Stretchable bioelectronics for long-term implantation; Textile-integrated EMG sensors for rehab,"Bioelectronic interfaces for peripheral nerve repair; soft, stretchable electrodes and closed-loop stimulation for functional recovery.",[Research tab] Soft bioelectronics for nerve repair (Source: http://karimlab.ncsu.edu/research); [Publications] 'Soft cuff electrodes enable closed-loop nerve modulation' (Source: http://karimlab.ncsu.edu/publications),https://twitter.com/KarimLab/status/10023456,https://www.bme.ncsu.edu/people/akarim,Assistant Professor
R&D Scientist; Medical Student,"S. Lee (PhD 2022, Abbott); M. Khan (MS 2023, UNC Med School)",NIH R01 (2022); AHA Innovative Research Award (2024),bortiz@ncsu.edu,BME,https://bme.ncsu.edu/news/ortiz-optogenetic-pacing,team science; rigorous; data-first,http://ortizcardiolab.ncsu.edu,2025-09-05,https://linkedin.com/in/ben-ortiz-bme,Individual development plans; peer-mentoring Pods; code review Fridays.,14,12,Dr. Benjamin Ortiz,"Blue-light pacing synchronized contraction in 3D cardiac patches, reducing conduction heterogeneity.; Tunable elasticity in PEG hydrogels improved sarcomere alignment and calcium handling.",2025; 2023,https://doi.org/10.1234/bme.ortiz.1; https://doi.org/10.1234/bme.ortiz.2,Optogenetic pacing synchronizes engineered myocardium; Elastic hydrogels stabilize iPSC-cardiomyocyte function,Cardiac tissue engineering with optogenetic pacing; biomaterial scaffolds to model arrhythmia and screen therapies.,[Research] Cardiac tissue engineering and optogenetics (Source: http://ortizcardiolab.ncsu.edu/research),https://twitter.com/OrtizCardioLab/status/9923456,https://www.bme.ncsu.edu/people/bortiz,Associate Professor
Senior Sensors Engineer; Regulatory Scientist,"D. Chen (PhD 2020, Apple Health Sensors); K. Mendez (MS 2021, FDA)","NIH R01 (2019); NSF SBIR (co-PI, 2024)",cnguyen@ncsu.edu,BME,https://bme.ncsu.edu/news/nguyen-sweat-sensor,user-centered; translational; mentorship-heavy,http://nguyen-sensing.ncsu.edu,2025-09-05,https://linkedin.com/in/celeste-nguyen-bme,Rotations encouraged; senior grad–undergrad pairing; quarterly career planning.,22,10,Dr. Celeste Nguyen,A colorimetric microfluidic patch quantified sweat chloride comparable to clinical assays.; Lactate levels from epidermal sensors predicted anaerobic thresholds in cyclists.,2024; 2022,https://doi.org/10.1234/bme.nguyen.1; https://doi.org/10.1234/bme.nguyen.2,Sweat chloride microfluidic patch for cystic fibrosis screening; Enzymatic lactate patches predict exertion thresholds,Wearable biochemical sensing for dehydration and electrolyte balance in athletes and post-operative patients.,[Research] Wearable microfluidic sensors; colorimetric readouts (Source: http://nguyen-sensing.ncsu.edu/research),https://twitter.com/NguyenSensing/status/12003456,https://www.bme.ncsu.edu/people/cnguyen,Professor
AI Engineer; Imaging Scientist,"L. Zhou (BS 2024, NVIDIA); A. Ortiz (MS 2023, GE HealthCare)",NSF CAREER (2024),dharper@ncsu.edu,BME,https://bme.ncsu.edu/news/harper-ultrasound-ml,applied ML; inclusive; open-source,http://harper-ultrasound.ai.ncsu.edu,2025-09-05,https://linkedin.com/in/dan-harper-bme,Biweekly research sprints; reproducible pipelines; lab wiki.,6,7,Dr. Daniel Harper,Contrastive learning reduced annotation needs by 70% for fetal structure segmentation.; A CUDA-lite pipeline achieved real-time beamforming on a Jetson device.,2025; 2023,https://doi.org/10.1234/bme.harper.1; https://doi.org/10.1234/bme.harper.2,Self-supervised learning improves fetal ultrasound segmentation; Portable beamforming on edge hardware,Ultrasound image computing and ML for point-of-care diagnostics in low-resource settings.,"[Research] Ultrasound ML, edge computing (Source: http://harper-ultrasound.ai.ncsu.edu/research)",https://twitter.com/HarperUltrasound/status/11004567,https://www.bme.ncsu.edu/people/dharper,Assistant Professor
Robotics Scientist; Mechanical Engineer,"S. Gupta (PhD 2021, Intuitive Surgical); R. Kim (MS 2022, Siemens)",NIH R21 (2023); Coulter Translational Award (2022),emorozov@ncsu.edu,BME,https://bme.ncsu.edu/news/morozov-endovascular-robotics,hardware-first; safety-focused; cross-disciplinary,http://morozov-robotics.ncsu.edu,2025-09-05,https://linkedin.com/in/elena-morozov-bme,Goal-oriented milestones; transparent authorship policies; internship support.,11,9,Dr. Elena Morozov,A three-chamber hydraulic catheter navigated 3D-printed cerebrovascular networks.; Force-feedback teleoperation reduced simulated vessel wall contact by 40%.,2024; 2022,https://doi.org/10.1234/bme.morozov.1; https://doi.org/10.1234/bme.morozov.2,Hydraulically actuated continuum catheter for cerebral aneurysm coiling; Haptic teleoperation reduces vessel trauma,Endovascular robotics and soft continuum catheters for minimally invasive neurosurgery.,[Research] Endovascular robotics; soft catheters (Source: http://morozov-robotics.ncsu.edu/research),https://twitter.com/MorozovRobotics/status/10988765,https://www.bme.ncsu.edu/people/emorozov,Associate Professor
Scientist II; Postdoctoral Fellow,"M. Alvarez (PhD 2019, Genentech); T. Johnson (PhD 2020, Postdoc Stanford)","NIH R01 (2018, 2023 renewal)",fpatel@ncsu.edu,BME,https://bme.ncsu.edu/news/patel-sting-nanoparticles,translational; clinically informed; diverse,http://patel-nano-therapeutics.ncsu.edu,2025-09-05,https://linkedin.com/in/farah-patel-bme,Apprenticeship model; multi-PI collaboration; structured proposal writing.,24,14,Dr. Farah Patel,Micelles disassembled in acidic tumor microenvironments to release doxorubicin.; Nanoparticles delivered cyclic dinucleotides to activate anti-tumor immunity.,2025; 2023,https://doi.org/10.1234/bme.patel.1; https://doi.org/10.1234/bme.patel.2,pH-responsive micelles enhance tumor penetration; STING-agonist nanoparticles reprogram TAMs,Targeted nanoparticle drug delivery for metastatic breast cancer; immune-modulating carriers.,[Research] Nanoparticle drug delivery; immunoengineering (Source: http://patel-nano-therapeutics.ncsu.edu/research),https://twitter.com/PatelNanoThera/status/10877654,https://www.bme.ncsu.edu/people/fpatel,Professor
Design Engineer; MS Student,"E. Park (MS 2024, Dexcom); H. Rivera (BS 2023, UNC BME MS)",NSF CAREER (2025),gchen@ncsu.edu,BME,https://bme.ncsu.edu/news/chen-ingestible-sensors,maker-space; safety-first; iterative design,http://chen-bioactuation.ncsu.edu,2025-09-05,https://linkedin.com/in/gabriel-chen-bme,Coding standards; pre-registration for animal studies; shared reagent inventory.,4,6,Dr. Gabriel Chen,Battery-free capsules mapped GI pH profiles to inform drug release.; Pneumatic micro-pumps enabled programmable insulin dosing in rats.,2024; 2023,https://doi.org/10.1234/bme.gchen.1; https://doi.org/10.1234/bme.gchen.2,Ingestible pH sensors for GI tract mapping; Soft actuator pumps for on-demand insulin delivery,Closed-loop glucose control using ingestible sensors and soft robotic actuators.,[Research] Ingestible biosensors; soft robotics (Source: http://chen-bioactuation.ncsu.edu/research),https://twitter.com/ChenBioActuation/status/11899876,https://www.bme.ncsu.edu/people/gchen,Assistant Professor
Senior Engineer; PhD Student,"T. Singh (PhD 2021, Boston Sci); R. Gomez (MS 2022, PhD UVA)",AHA Established Investigator (2023),hpark@ncsu.edu,BME,https://bme.ncsu.edu/news/park-glycocalyx,mechanobiology; methodical; supportive,http://park-vascular.ncsu.edu,2025-09-05,https://linkedin.com/in/hyejin-park-bme,Lab charter; writing groups; open-door policy.,13,9,Dr. Hyejin Park,"Oscillatory shear reduced sulfation, increasing leukocyte adhesion in vitro.; A PDMS microartery reproduced physiologic waveforms for drug testing.",2025; 2022,https://doi.org/10.1234/bme.hpark.1; https://doi.org/10.1234/bme.hpark.2,Shear stress regulates glycocalyx sulfation; Microfluidic arteries model pulsatile flow,Vascular mechanobiology and endothelial glycocalyx remodeling in hypertension.,[Research] Vascular mechanobiology; microfluidics (Source: http://park-vascular.ncsu.edu/research),https://twitter.com/ParkVascular/status/11766543,https://www.bme.ncsu.edu/people/hpark,Associate Professor
MD/PhD Trainee; Data Analyst,"P. Li (BS 2023, UNC MD/PhD); R. Silva (MS 2024, Epic)",NIH K25 (2024),iromero@ncsu.edu,BME,https://bme.ncsu.edu/news/romero-sepsis-cds,data-driven; clinically collaborative; transparent,http://romero-systems.ncsu.edu,2025-09-05,https://linkedin.com/in/isaac-romero-bme,Computational notebooks; paired wet/dry projects; inclusive pedagogy.,3,5,Dr. Isaac Romero,Modular gene signatures predicted ICU transfer 12h earlier than SOFA.; Multi-omics fusion improved phenotyping across cohorts.,2025; 2023,https://doi.org/10.1234/bme.romero.1; https://doi.org/10.1234/bme.romero.2,Early sepsis detection via transcriptomic modules; Proteogenomic integration improves stratification,Systems biology of sepsis; multi-omic signatures and predictive clinical decision support.,[Research] Sepsis multi-omics; clinical decision support (Source: http://romero-systems.ncsu.edu/research),https://twitter.com/RomeroSystems/status/10655432,https://www.bme.ncsu.edu/people/iromero,Assistant Professor
Staff Scientist; Epidemiologist,"A. Gomez (PhD 2018, Illumina); C. Wright (PhD 2019, CDC)",NIH R01 (2021); Beckman Young Investigator (earlier),jli@ncsu.edu,BME,https://bme.ncsu.edu/news/li-crispr-diagnostics,fast-paced; translational; device-focused,http://li-diagnostics.ncsu.edu,2025-09-05,https://linkedin.com/in/jia-li-bme,Independent project leads; emphasis on grant writing; alumni network connections.,27,13,Dr. Jia Li,"Cas13 collateral cleavage enabled simultaneous detection of influenza, RSV, and SARS-CoV-2.; A cellulose device read viral RNA using catalytic hairpin assembly without amplification.",2024; 2022,https://doi.org/10.1234/bme.jli.1; https://doi.org/10.1234/bme.jli.2,CRISPR-Cas13 multiplex panel for respiratory viruses; Paper-based microfluidic amplification-free tests,CRISPR-based diagnostics and multiplexed nucleic acid detection for infectious disease surveillance.,[Research] CRISPR diagnostics; microfluidics (Source: http://li-diagnostics.ncsu.edu/research),https://twitter.com/LiDiagnostics/status/11544321,https://www.bme.ncsu.edu/people/jli,Professor
